date,suspect,num_bad_aircraft_hexes
2022-02-14,true,89
2022-02-15,false,190
2022-02-16,false,206
2022-02-17,false,195
2022-02-18,false,204
2022-02-19,false,208
2022-02-20,false,224
2022-02-21,false,198
2022-02-22,false,187
2022-02-23,false,179
2022-02-24,false,143
2022-02-25,false,150
2022-02-26,false,181
2022-02-27,false,180
2022-02-28,false,129
2022-03-01,false,168
2022-03-02,false,168
2022-03-03,false,163
2022-03-04,false,141
2022-03-05,false,282
2022-03-06,false,218
2022-03-07,false,177
2022-03-08,false,184
2022-03-09,false,167
2022-03-10,false,166
2022-03-11,false,97
2022-03-12,false,150
2022-03-13,false,168
2022-03-14,false,136
2022-03-15,false,133
2022-03-16,false,154
2022-03-17,false,122
2022-03-18,false,103
2022-03-19,false,109
2022-03-20,false,137
2022-03-21,false,110
2022-03-22,false,123
2022-03-23,false,113
2022-03-24,false,127
2022-03-25,false,130
2022-03-26,false,123
2022-03-27,false,108
2022-03-28,false,117
2022-03-29,false,145
2022-03-30,false,121
2022-03-31,false,134
2022-04-01,false,110
2022-04-02,false,119
2022-04-03,false,106
2022-04-04,false,112
2022-04-05,false,101
2022-04-06,false,110
2022-04-07,false,123
2022-04-08,false,111
2022-04-09,false,111
2022-04-10,false,96
2022-04-11,false,111
2022-04-12,false,127
2022-04-13,false,113
2022-04-14,false,97
2022-04-15,false,87
2022-04-16,false,96
2022-04-17,false,94
2022-04-18,false,116
2022-04-19,false,136
2022-04-20,false,148
2022-04-21,false,141
2022-04-22,false,125
2022-04-23,false,112
2022-04-24,false,116
2022-04-25,false,121
2022-04-26,false,102
2022-04-27,false,110
2022-04-28,false,132
2022-04-29,false,133
2022-04-30,false,138
2022-05-01,false,159
2022-05-02,false,120
2022-05-03,false,131
2022-05-04,false,130
2022-05-05,false,125
2022-05-06,false,122
2022-05-07,false,138
2022-05-08,false,120
2022-05-09,false,108
2022-05-10,false,90
2022-05-11,false,118
2022-05-12,false,104
2022-05-13,false,118
2022-05-14,false,131
2022-05-15,false,152
2022-05-16,false,127
2022-05-17,false,137
2022-05-18,false,142
2022-05-19,false,164
2022-05-20,false,142
2022-05-21,false,131
2022-05-22,false,149
2022-05-23,false,134
2022-05-24,false,119
2022-05-25,false,103
2022-05-26,false,91
2022-05-27,false,98
2022-05-28,false,108
2022-05-29,false,135
2022-05-30,false,152
2022-05-31,false,159
2022-06-01,false,150
2022-06-02,false,208
2022-06-03,false,172
2022-06-04,false,230
2022-06-05,false,233
2022-06-06,false,218
2022-06-07,false,224
2022-06-08,true,135
2022-06-09,true,135
2022-06-10,false,176
2022-06-11,false,214
2022-06-12,false,198
2022-06-13,false,169
2022-06-14,false,245
2022-06-15,false,269
2022-06-16,false,206
2022-06-17,false,191
2022-06-18,false,195
2022-06-19,false,155
2022-06-20,false,153
2022-06-21,false,134
2022-06-22,false,155
2022-06-23,false,149
2022-06-24,false,154
2022-06-25,false,126
2022-06-26,false,135
2022-06-27,false,149
2022-06-28,false,83
2022-06-29,false,108
2022-06-30,true,171
2022-07-01,true,198
2022-07-02,false,202
2022-07-03,false,195
2022-07-04,false,206
2022-07-05,false,146
2022-07-06,false,115
2022-07-07,false,125
2022-07-08,false,125
2022-07-09,false,136
2022-07-10,false,161
2022-07-11,false,110
2022-07-12,false,128
2022-07-13,false,129
2022-07-14,false,109
2022-07-15,true,139
2022-07-16,false,131
2022-07-17,false,116
2022-07-18,false,116
2022-07-19,false,109
2022-07-20,false,118
2022-07-21,true,130
2022-07-22,true,142
2022-07-23,false,145
2022-07-24,false,119
2022-07-25,false,124
2022-07-26,false,123
2022-07-27,false,106
2022-07-28,false,104
2022-07-29,false,122
2022-07-30,false,121
2022-07-31,false,133
2022-08-01,false,169
2022-08-02,false,181
2022-08-03,false,233
2022-08-04,false,220
2022-08-05,false,196
2022-08-06,false,183
2022-08-07,false,199
2022-08-08,false,170
2022-08-09,false,179
2022-08-10,false,162
2022-08-11,false,194
2022-08-12,false,166
2022-08-13,false,177
2022-08-14,false,171
2022-08-15,false,208
2022-08-16,false,181
2022-08-17,false,120
2022-08-18,false,157
2022-08-19,false,165
2022-08-20,false,169
2022-08-21,false,143
2022-08-22,false,169
2022-08-23,false,154
2022-08-24,false,128
2022-08-25,false,166
2022-08-26,false,127
2022-08-27,false,139
2022-08-28,false,121
2022-08-29,false,138
2022-08-30,false,121
2022-08-31,false,144
2022-09-01,false,190
2022-09-02,false,172
2022-09-03,false,134
2022-09-04,false,139
2022-09-05,false,148
2022-09-06,false,122
2022-09-07,false,123
2022-09-08,false,133
2022-09-09,false,149
2022-09-10,false,160
2022-09-11,false,147
2022-09-12,false,155
2022-09-13,false,160
2022-09-14,false,132
2022-09-15,false,122
2022-09-16,false,129
2022-09-17,false,121
2022-09-18,false,133
2022-09-19,false,86
2022-09-20,false,119
2022-09-21,false,118
2022-09-22,false,110
2022-09-23,false,120
2022-09-24,false,132
2022-09-25,false,153
2022-09-26,false,139
2022-09-27,false,224
2022-09-28,false,222
2022-09-29,false,180
2022-09-30,false,143
2022-10-01,false,142
2022-10-02,false,204
2022-10-03,false,170
2022-10-04,false,158
2022-10-05,false,141
2022-10-06,false,149
2022-10-07,false,156
2022-10-08,false,180
2022-10-09,false,179
2022-10-10,false,163
2022-10-11,false,151
2022-10-12,false,129
2022-10-13,true,78
2022-10-14,true,110
2022-10-15,false,177
2022-10-16,false,140
2022-10-17,false,144
2022-10-18,false,146
2022-10-19,false,163
2022-10-20,false,152
2022-10-21,false,132
2022-10-22,false,142
2022-10-23,false,151
2022-10-24,false,147
2022-10-25,false,138
2022-10-26,false,146
2022-10-27,false,169
2022-10-28,false,139
2022-10-29,false,151
2022-10-30,false,127
2022-10-31,false,137
2022-11-01,false,148
2022-11-02,false,161
2022-11-03,false,164
2022-11-04,false,159
2022-11-05,false,152
2022-11-06,false,146
2022-11-07,false,156
2022-11-08,false,167
2022-11-09,false,142
2022-11-10,false,134
2022-11-11,false,121
2022-11-12,false,119
2022-11-13,false,125
2022-11-14,false,118
2022-11-15,false,126
2022-11-16,false,128
2022-11-17,false,141
2022-11-18,false,136
2022-11-19,false,146
2022-11-20,false,140
2022-11-21,false,148
2022-11-22,false,155
2022-11-23,false,184
2022-11-24,false,198
2022-11-25,false,132
2022-11-26,false,126
2022-11-27,false,153
2022-11-28,false,144
2022-11-29,false,134
2022-11-30,false,136
2022-12-01,false,163
2022-12-02,false,166
2022-12-03,false,139
2022-12-04,false,137
2022-12-05,false,136
2022-12-06,false,147
2022-12-07,false,130
2022-12-08,false,146
2022-12-09,false,127
2022-12-10,false,151
2022-12-11,false,205
2022-12-12,false,216
2022-12-13,false,184
2022-12-14,false,203
2022-12-15,false,168
2022-12-16,false,176
2022-12-17,false,196
2022-12-18,false,184
2022-12-19,false,202
2022-12-20,false,190
2022-12-21,false,155
2022-12-22,false,198
2022-12-23,false,175
2022-12-24,false,215
2022-12-25,false,185
2022-12-26,false,161
2022-12-27,true,144
2022-12-28,false,141
2022-12-29,false,195
2022-12-30,false,145
2022-12-31,false,117
2023-01-01,false,131
2023-01-02,false,146
2023-01-03,false,154
2023-01-04,false,172
2023-01-05,false,202
2023-01-06,false,205
2023-01-07,false,175
2023-01-08,false,193
2023-01-09,false,201
2023-01-10,false,179
2023-01-11,false,189
2023-01-12,false,142
2023-01-13,false,164
2023-01-14,false,170
2023-01-15,false,156
2023-01-16,false,157
2023-01-17,false,157
2023-01-18,false,149
2023-01-19,false,185
2023-01-20,false,172
2023-01-21,false,185
2023-01-22,false,202
2023-01-23,false,160
2023-01-24,false,169
2023-01-25,false,175
2023-01-26,false,157
2023-01-27,false,148
2023-01-28,false,155
2023-01-29,false,137
2023-01-30,false,136
2023-01-31,false,120
2023-02-01,false,119
2023-02-02,false,170
2023-02-03,false,130
2023-02-04,false,128
2023-02-05,false,145
2023-02-06,false,115
2023-02-07,false,110
2023-02-08,false,120
2023-02-09,false,128
2023-02-10,false,128
2023-02-11,false,115
2023-02-12,false,132
2023-02-13,false,127
2023-02-14,false,125
2023-02-15,false,127
2023-02-16,false,148
2023-02-17,false,138
2023-02-18,false,157
2023-02-19,false,169
2023-02-20,false,149
2023-02-21,false,134
2023-02-22,false,186
2023-02-23,false,204
2023-02-24,false,163
2023-02-25,false,111
2023-02-26,false,151
2023-02-27,false,162
2023-02-28,false,157
2023-03-01,false,158
2023-03-02,false,167
2023-03-03,false,154
2023-03-04,false,175
2023-03-05,false,166
2023-03-06,false,145
2023-03-07,false,128
2023-03-08,false,133
2023-03-09,false,160
2023-03-10,false,170
2023-03-11,false,164
2023-03-12,false,168
2023-03-13,false,195
2023-03-14,false,162
2023-03-15,false,192
2023-03-16,false,206
2023-03-17,false,191
2023-03-18,false,178
2023-03-19,false,179
2023-03-20,false,216
2023-03-21,false,194
2023-03-22,false,201
